task	threshold_T	reuse_pct	drop_pct	source
CN	24	16.4	0.47	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
CN	28	30.4	1.0	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
CN	31	38.0	1.24	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
CN	35	39.9	1.56	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
CN	40	39.1	1.26	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
CN	45	39.9	0.98	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	16	8.3	0.44	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	20	18.6	0.93	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	24	33.1	1.58	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	28	39.9	1.95	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	31	42.7	2.01	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
PN	35	42.5	1.57	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	20	6.8	0.17	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	24	16.7	0.58	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	28	29.6	0.84	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	31	38.9	1.15	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	35	51.9	1.48	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
WK	40	58.9	1.9	/home/zhangshangtong/Transformer/OFA/output/tser_threshold_sensitivity_plot_data.tsv
